1.878587674239144789e+01,3.107548492964663511e-01
1.714455733980151919e+01,5.718609881258042149e-01
1.690740581425681199e+01,5.039116976487579835e-01
1.820525907633156493e+01,5.313590046268339417e-01
1.887787587914225185e+01,2.798034004945840758e-01
1.769242584049784384e+01,6.496332693376679623e-01
1.992305679353846060e+01,2.520168995781525700e-02
1.873931895433945272e+01,3.218666087627514716e-01
1.792372760593744374e+01,5.893148794949962799e-01
1.756847007277660211e+01,6.473354104653233909e-01
1.737271206460347628e+01,6.264657312438414172e-01
1.891619882953616738e+01,2.556167665682658185e-01
1.775428897871849898e+01,6.659252195032944188e-01
1.623871158643827428e+01,2.576953666114472075e-01
1.759217702132172434e+01,6.465336937315078192e-01
1.895198162292814459e+01,2.533649340490127244e-01
1.672996692181400036e+01,4.555826902893119201e-01
1.670180702458997146e+01,4.318225787547643746e-01
1.812620549536735481e+01,5.648325576647567070e-01
1.812731034838746424e+01,5.490253651693370873e-01
1.853760383420528512e+01,4.189472833223257253e-01
1.939772717631115739e+01,1.325348929217366467e-01
1.889782129944254052e+01,2.707373254410604946e-01
1.844409404271033281e+01,4.579520588600552444e-01
1.888977353028088757e+01,2.866427576175185621e-01
